Country,Capital,Latitude,Longitude
Afghanistan,Kabul,34.5553,69.2075
Albania,Tirana,41.3275,19.8187
Algeria,Algiers,36.7372,3.0863
Andorra,Andorra la Vella,42.5078,1.5211
Angola,Luanda,-8.8390,13.2894
Antigua and Barbuda,St. John's,17.1274,-61.8468
Argentina,Buenos Aires,-34.6118,-58.4173
Armenia,Yerevan,40.1792,44.4991
Australia,Canberra,-35.2809,149.1300
Austria,Vienna,48.2082,16.3738
Azerbaijan,Baku,40.4093,49.8671
Bahamas,Nassau,25.0343,-77.3963
Bahrain,Manama,26.2235,50.5876
Bangladesh,Dhaka,23.8103,90.4125
Barbados,Bridgetown,13.0975,-59.6167
Belarus,Minsk,53.9045,27.5615
Belgium,Brussels,50.8503,4.3517
Belize,Belmopan,17.2510,-88.7590
Benin,Porto-Novo,6.4969,2.6289
Bhutan,Thimphu,27.4728,89.6393
Bolivia,Sucre,-19.0349,-65.2619
Bosnia and Herzegovina,Sarajevo,43.8563,18.4131
Botswana,Gaborone,-24.6282,25.9231
Brazil,Brasilia,-15.8267,-47.9218
Brunei,Bandar Seri Begawan,4.9031,114.9398
Bulgaria,Sofia,42.6977,23.3219
Burkina Faso,Ouagadougou,12.3714,-1.5197
Burundi,Gitega,-3.4284,29.9256
Cabo Verde,Praia,14.9330,-23.5133
Cambodia,Phnom Penh,11.5564,104.9282
Cameroon,Yaounde,3.8480,11.5021
Canada,Ottawa,45.4215,-75.6972
Central African Republic,Bangui,4.3947,18.5582
Chad,N'Djamena,12.1348,15.0557
Chile,Santiago,-33.4489,-70.6693
China,Beijing,39.9042,116.4074
Colombia,Bogotá,4.7110,-74.0721
Comoros,Moroni,-11.7172,43.2473
Congo, Brazzaville,-4.2634,15.2429
Costa Rica,San José,9.9281,-84.0907
Croatia,Zagreb,45.8150,15.9819
Cuba,Havana,23.1136,-82.3666
Cyprus,Nicosia,35.1856,33.3823
Czech Republic,Prague,50.0755,14.4378
Denmark,Copenhagen,55.6761,12.5683
Djibouti,Djibouti,11.8251,42.5903
Dominica,Roseau,15.3092,-61.3790
Dominican Republic,Santo Domingo,18.4861,-69.9312
East Timor,Dili,-8.5569,125.5603
Ecuador,Quito,-0.1807,-78.4678
Egypt,Cairo,30.0444,31.2357
El Salvador,San Salvador,13.6929,-89.2182
Equatorial Guinea,Malabo,3.7500,8.7833
Eritrea,Asmara,15.3229,38.9251
Estonia,Tallinn,59.4370,24.7535
Eswatini,Mbabane,-26.3054,31.1367
Ethiopia,Addis Ababa,9.1450,38.7170
Fiji,Suva,-18.1248,178.4501
Finland,Helsinki,60.1695,24.9354
France,Paris,48.8566,2.3522
Gabon,Libreville,0.4162,9.4673
Gambia,Banjul,13.4549,-16.5790
Georgia,Tbilisi,41.7151,44.8271
Germany,Berlin,52.5200,13.4050
Ghana,Accra,5.6037,-0.1870
Greece,Athens,37.9838,23.7275
Grenada,St. George's,12.0561,-61.7488
Guatemala,Guatemala City,14.6349,-90.5069
Guinea,Conakry,9.6412,-13.5784
Guinea-Bissau,Bissau,11.8636,-15.5977
Guyana,Georgetown,6.8013,-58.1551
Haiti,Port-au-Prince,18.5944,-72.3074
Honduras,Tegucigalpa,14.0723,-87.1921
Hungary,Budapest,47.4979,19.0402
Iceland,Reykjavik,64.1355,-21.8954
India,New Delhi,28.6139,77.2090
Indonesia,Jakarta,-6.2088,106.8456
Iran,Tehran,35.6892,51.3890
Iraq,Baghdad,33.3152,44.3661
Ireland,Dublin,53.3498,-6.2603
Israel,Jerusalem,31.7683,35.2137
Italy,Rome,41.9028,12.4964
